term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
haley,0.01607339343712014,-0.006718426617271332,-0.007377145941953521,-0.016126603033559988,-0.01122854400520905,-0.003948828880493745,0.006261414235336411,-0.0025899102963998413,0.031016135700571587,-1.0350182895074163e-16
ford,0.010573773229729671,0.007361406273435529,-0.0019745330537931415,0.012637740213287238,0.0015016504043224783,-0.0060972501969500555,0.00767335423934215,0.0011658831369700815,-0.001736891776436959,-1.1267829517611265e-16
camera,0.010322694811184188,0.006421374258395871,-0.007053274371348725,-0.00026096702362514516,0.00013519943489714606,-0.004360723969549519,-0.00015809988152106462,-0.007758394377945623,-0.012587197979976641,-4.1133278188219273e-17
suicide,-0.008486879455748761,0.009900577168263279,0.01363962772480002,-0.007647129429996638,0.0019877091448353645,-0.002382251591574615,-0.0029970729596952425,-0.0018137391440681534,0.0010038643341613938,-2.4774609317631303e-16
dressen,-0.010039860763465563,0.02447983927595086,0.020527625937233316,-0.010951568383559878,-0.005920991564815943,0.0044278635450330376,-0.0011913117415554874,0.0007854639456942982,0.0029752559199226632,-4.1956133965418316e-16
suicides,-0.010039860763465563,0.02447983927595086,0.020527625937233316,-0.010951568383559878,-0.005920991564815943,0.0044278635450330376,-0.0011913117415554874,0.0007854639456942982,0.0029752559199226632,-4.1956133965418316e-16
vietnam,0.006759011337698088,-0.015652283498930813,0.014156902937365927,-0.00602229023688823,0.00905473995611385,-0.003437863962148625,0.006408172626566637,-0.0022740355256320004,0.0053779488778408786,-1.7333097400919277e-16
wealthy,-0.012710138612558387,-0.001371986879331299,-0.01152847632665845,-0.003665402812700586,0.0055974308376271105,-0.004802094424159562,-0.001638284273129204,0.004369265411626017,-0.0021707268231215045,9.960525547921032e-17
nkrumah,-0.013086147569836703,-0.0010669329164839567,-0.015376356289661872,-0.0040669109146329215,0.010300868996784928,0.01929800456723137,0.014615750559379956,0.007830731453665892,-0.0011876552432665119,-2.313814900556882e-17
doby,-0.012613890885550044,0.0017824815682137415,-0.014662945171781195,-0.008168529282860649,0.014014414887722652,-0.00850719814317584,-0.006359312289107876,0.0025208302502785,-0.001170029787913865,9.34966215529203e-17
oak,-0.008328844038028013,-0.0034871919527292078,-0.009357721420875124,-0.005596466541913663,0.013121004058006678,0.017172349546039897,0.01209069290235906,0.003370518769551845,-0.0025553606529079296,-5.687367651453301e-17
matthews,-0.010697237452535773,0.0016091675962306318,-0.01576176157539652,-0.0031100988203316424,0.013392181594694758,0.01931777666982453,0.015106623827915363,0.00491664735257915,-0.0005084477571495461,-7.533731144756258e-17
denison,-0.012774502722440562,0.00020393947740582203,-0.010432772499169629,-0.003195775676355141,0.008809705512736122,-0.016957559600294263,-0.015996029123432856,-0.004800388379826012,0.0005181627277996847,1.6556571004385946e-16
dodgers,-0.001489740542984776,-0.010661480174776148,0.016243434767529194,-0.003878836011822937,0.009285623303078732,-0.005130850572759085,0.004046845233695215,-6.909224120651454e-05,-0.00343935869714564,-1.7406293179852758e-16
baker,-0.004679472450090519,0.009016850557528218,0.009099984508179046,0.003991211493620434,-0.0037288813590273195,0.0058463731086008065,-0.0070332458163782875,-0.0029312289707873686,0.003603529218588299,-2.6831482987742286e-17
nader,0.013973913497436487,0.0013907687597317772,0.004003495772726661,0.016109919103246058,0.007612271115279875,0.008155553168823262,-0.017693549230674007,0.022545112151840335,0.005894995319083741,5.708438839399367e-16
mulkerin,0.01625859839990544,-0.0013967842870474916,-0.006009397782005837,-0.01268357383640371,-0.008978651168368735,0.009999044462804276,-0.010081517014278398,-0.009270593652580136,-0.023026270432586288,2.4221213077206365e-16
hathaway,0.01625859839990544,-0.0013967842870474916,-0.006009397782005837,-0.01268357383640371,-0.008978651168368735,0.009999044462804276,-0.010081517014278398,-0.009270593652580136,-0.023026270432586288,2.4221213077206365e-16
pregnancy,0.016015560106013342,-0.001842253459877769,-0.006045050344051748,-0.012807421321870937,-0.009049947733611433,0.00864088436306366,-0.008512946968190773,-0.008557541125655382,-0.017983231593570785,2.0906456021685114e-16
fla,-0.0020171797290778394,-0.0053714687562556075,-0.002117223220338992,-0.0023326824213550684,0.003282389041440339,0.003075675106974919,0.0017180962273417766,0.005188089499127776,-0.005800113052376227,8.752085893568549e-17
nixon,-0.00418986736534845,-0.005151856331983782,-0.0005536091187928344,0.010821607980620469,-0.009245541658077524,0.00011186297370469572,-0.0012696618417975336,0.006124461896411843,3.161169648440805e-05,2.0041470501766792e-16
collie,-0.012691504767432926,0.0001451251239515759,-0.01640254793509211,-0.0050161614757827135,0.013920990903513456,0.021878984390149087,0.014486266920776201,0.006159009788383583,-7.180967681398682e-05,-3.87782904284887e-17
supremes,0.004364153178479876,-0.01611690835776953,0.019208431403606896,-0.0005291368432368703,0.01477302472376988,-0.002012006794565182,0.0038416036135092415,0.0003481269998129976,-0.0026148221321167934,-1.162656792464327e-16
khalilah,0.011324036479633598,0.014760887348694364,-0.0047594322048391475,0.01567068877853148,0.004189913450149829,-0.01074142265876044,0.01608369014838068,-0.008245166576711042,-0.004421746359850009,-3.9165264515625893e-16
taj,0.011324036479633598,0.014760887348694364,-0.0047594322048391475,0.01567068877853148,0.004189913450149829,-0.01074142265876044,0.01608369014838068,-0.008245166576711042,-0.004421746359850009,-3.9165264515625893e-16
greyhound,0.012128219282435009,0.008556425488443382,-0.005260351747991362,0.006726336981368858,-1.4531972084226933e-05,-0.008542974594764087,0.012883219748461268,-0.006441975222039064,0.005039087617100835,-3.018888101892551e-16
